customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0055,Male,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,62.67,892.66,No
ID0056,Female,0,Yes,Yes,70,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,114.69,5423.31,No
ID0057,Female,1,No,Yes,70,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),40.45,162.29,Yes
ID0058,Male,0,Yes,No,65,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,114.6,3855.8,Yes
ID0059,Male,1,No,Yes,5,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.42,1624.13,Yes
ID0060,Male,1,Yes,No,2,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,38.37,5057.26,Yes
ID0061,Male,0,Yes,No,22,No,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.81,7838.41,Yes
ID0062,Male,0,No,No,57,No,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),77.66,3769.77,Yes
ID0063,Male,0,Yes,No,66,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,121.69,6559.23,No
ID0064,Male,0,No,No,16,Yes,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.67,4112.49,No
ID0065,Male,1,Yes,No,51,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,58.99,4018.13,No
ID0066,Female,0,No,No,39,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),80.56,7451.34,Yes
ID0067,Female,0,No,Yes,40,No,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,76.04,7131.72,No
ID0068,Male,0,Yes,Yes,38,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),64.78,6308.81,Yes
ID0069,Female,0,No,No,60,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,100.06,2441.41,Yes
ID0070,Female,0,Yes,No,59,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,106.71,4406.56,No
ID0071,Female,0,Yes,Yes,10,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,116.14,1869.78,Yes
ID0072,Female,1,Yes,No,64,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,No,Credit card (automatic),128.25,3607.93,Yes
ID0073,Male,1,No,Yes,63,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),56.92,3926.27,Yes
ID0074,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.32,6670.95,Yes
ID0075,Male,0,Yes,Yes,64,No,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Credit card (automatic),69.81,7179.61,Yes
ID0076,Female,0,Yes,No,32,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),98.38,3376.49,No
ID0077,Female,1,No,No,7,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),78.06,240.86,No
ID0078,Female,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),130.36,6909.0,Yes
ID0079,Male,1,Yes,Yes,20,No,Yes,No,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,103.61,1477.79,Yes
ID0080,Female,0,No,Yes,26,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),126.19,5013.86,No
ID0081,Male,0,Yes,Yes,68,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,114.32,298.26,No
ID0082,Female,0,No,Yes,15,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),121.18,3257.09,No
ID0083,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),112.25,7890.08,Yes
ID0084,Female,1,No,Yes,27,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,76.37,896.47,No
ID0085,Male,1,Yes,No,40,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,55.42,3448.17,No
ID0086,Male,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,67.39,2527.47,Yes
ID0087,Female,0,No,No,28,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.03,7251.19,Yes
ID0088,Male,1,Yes,No,26,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,82.91,6968.78,No
ID0089,Female,1,No,No,63,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,81.0,1978.81,Yes
ID0090,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),83.04,742.37,No
ID0091,Female,1,No,No,25,No,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,128.37,5055.38,No
ID0092,Female,0,No,No,3,No,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),122.05,2758.3,Yes
ID0093,Female,1,No,Yes,72,No,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),46.32,5410.46,Yes
ID0094,Female,0,No,No,44,No,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),67.25,354.74,No
ID0095,Female,1,Yes,Yes,42,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,72.81,1154.84,Yes
ID0096,Female,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),66.4,5523.33,Yes
ID0097,Female,1,No,No,39,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),110.64,1778.72,Yes
ID0098,Female,1,No,Yes,52,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,No,Electronic check,82.92,6875.93,Yes
ID0099,Female,1,No,No,23,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,87.77,563.86,Yes
ID0100,Male,0,Yes,Yes,50,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,116.14,1803.3,Yes
ID0101,Male,0,Yes,Yes,43,Yes,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.39,7989.62,Yes
ID0102,Female,1,Yes,Yes,19,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,43.34,3522.29,No
ID0103,Female,1,Yes,Yes,69,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,102.1,5654.42,Yes
ID0104,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,73.97,1544.03,No
ID0105,Female,1,No,No,11,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Mailed check,59.75,4918.95,Yes
ID0106,Female,1,No,Yes,12,No,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),35.04,5837.23,No
ID0107,Female,0,Yes,No,8,No,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),79.2,2585.36,Yes
ID0108,Female,1,Yes,No,24,Yes,No,No,Yes,No internet service,No,No,No internet service,No,Two year,No,Credit card (automatic),65.89,6649.28,No
ID0109,Female,1,Yes,Yes,41,No,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),55.39,4867.99,Yes
ID0110,Male,0,No,No,36,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,100.15,3175.06,No
ID0111,Female,0,No,Yes,72,No,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),107.71,4506.36,Yes
ID0112,Male,0,Yes,Yes,55,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,54.71,4657.4,Yes
ID0113,Female,1,No,No,9,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Electronic check,34.98,1408.72,No
ID0114,Female,0,Yes,No,47,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),115.71,3282.58,No
ID0115,Male,0,Yes,No,15,No,No,DSL,No,No internet service,No internet service,No,No,No,One year,No,Bank transfer (automatic),31.0,2814.09,Yes
ID0116,Female,0,No,Yes,48,Yes,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),124.64,3268.12,No
ID0117,Male,0,Yes,Yes,42,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),93.38,6113.76,No
ID0118,Female,0,No,No,60,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,62.5,3913.04,Yes
ID0119,Female,0,Yes,No,70,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,54.88,7529.49,No
ID0120,Male,1,No,No,12,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),30.9,2421.03,Yes
ID0121,Female,1,No,No,2,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),53.77,3385.05,No
ID0122,Male,0,No,Yes,7,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,43.9,6317.95,Yes
ID0123,Female,0,Yes,No,3,No,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),91.82,4414.58,No
ID0124,Male,0,Yes,Yes,3,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),46.81,4422.51,Yes
ID0125,Male,1,No,Yes,27,No,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),83.38,522.38,Yes
ID0126,Female,1,No,No,40,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),89.59,3249.93,No
ID0127,Female,1,Yes,No,33,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.09,2239.79,No
ID0128,Male,1,Yes,No,1,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,33.53,7995.74,Yes
ID0129,Female,1,Yes,Yes,8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,33.75,2537.0,Yes
ID0130,Female,1,No,No,32,Yes,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,32.65,7088.51,No
ID0131,Female,1,Yes,No,48,No,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,104.64,5443.24,No
ID0132,Male,1,Yes,Yes,4,No,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),62.11,2794.23,No
ID0133,Male,1,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),110.42,4394.91,No
ID0134,Male,0,Yes,Yes,19,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),73.6,6741.22,No
ID0135,Male,0,Yes,No,32,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,75.74,7079.6,No
ID0136,Male,0,Yes,Yes,9,No,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,81.79,1368.1,Yes
ID0137,Male,0,No,No,12,No,No phone service,No,No,No internet service,No internet service,No,No,Yes,One year,No,Electronic check,102.01,2783.62,No
ID0138,Male,1,No,No,11,No,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),57.61,2749.25,No
ID0139,Male,1,No,Yes,46,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Electronic check,42.27,433.14,No
ID0140,Male,0,No,Yes,16,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),86.15,4827.07,No
ID0141,Female,1,No,No,1,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),63.01,6854.07,Yes
ID0142,Male,0,No,Yes,63,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),74.68,3115.43,Yes
ID0143,Female,1,No,Yes,21,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),95.33,5947.27,Yes
ID0144,Female,0,Yes,Yes,30,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Electronic check,79.9,5059.82,Yes
ID0145,Female,1,Yes,Yes,13,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),92.64,3068.62,No
ID0146,Male,1,No,No,34,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),84.95,1215.36,Yes
ID0147,Male,0,Yes,No,4,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.71,5704.65,No
ID0148,Male,1,Yes,Yes,28,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),101.29,6852.05,No
ID0149,Male,0,No,Yes,59,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,83.94,5519.24,Yes
ID0150,Female,0,Yes,Yes,27,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),98.56,242.23,Yes
ID0151,Male,0,Yes,Yes,69,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,118.22,1809.23,No
ID0152,Male,0,Yes,No,25,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,73.65,649.88,Yes
ID0153,Male,1,Yes,No,3,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),71.68,4607.04,Yes
ID0154,Male,1,Yes,Yes,68,No,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,107.18,6077.16,No
ID0155,Male,1,No,Yes,25,No,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,88.83,974.57,No
ID0156,Female,0,No,Yes,20,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,37.16,6723.86,No
ID0157,Male,1,No,No,34,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),120.09,4489.51,No
ID0158,Female,0,Yes,Yes,26,No,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,33.1,5551.75,No
ID0159,Male,1,No,No,5,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,105.58,7775.06,Yes
ID0160,Female,1,Yes,Yes,61,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),106.63,762.07,No
ID0161,Male,1,Yes,No,9,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),126.25,7220.66,No
ID0162,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Mailed check,35.46,1097.2,No
ID0163,Female,1,Yes,No,6,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),90.27,3205.36,Yes
ID0164,Female,1,No,Yes,60,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,73.2,6827.36,No
ID0165,Female,0,No,Yes,44,No,No,No,No,Yes,No internet service,Yes,No,No internet service,One year,No,Credit card (automatic),63.38,7260.4,No
ID0166,Male,1,Yes,Yes,11,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),39.11,4101.33,Yes
ID0167,Female,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),86.82,4794.42,No
ID0168,Male,1,Yes,Yes,47,No,No phone service,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.37,5695.35,No
ID0169,Male,0,No,No,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,40.55,6679.78,No
ID0170,Female,0,No,No,30,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.85,1060.93,Yes
ID0171,Female,1,Yes,Yes,21,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,104.52,6500.54,Yes
ID0172,Male,0,No,Yes,28,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),107.49,3903.07,No
ID0173,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,121.43,3660.92,No
ID0174,Female,0,No,No,33,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,Yes,Electronic check,71.35,3449.8,No
